Feature,VIF
OBJECTID,1.0580332460203274
GEOID20,588.6776237074813
pct9yEd,4.432357216752841
pctHSGrad,5.372292566717362
pctWhtClr,2.3004323915290845
medFamInc,4.017006233425196
incomeDisp,1.092974918259506
medHomVal,4.845140492364542
medGrsRnt,2.093380154196217
medMthMor,4.474644827467745
pctHomOwn,1.9886417571201613
pctUnemp,1.085065041419624
pctPoverty,1.160587684808255
pct1Parent,1.316991389499609
pctNoVhcl,1.6002800626631606
pctNoPhone,1.0905263853284457
pctNoPlumb,1.0554601953572602
pctCrowded,1.4992193957545792
